directory_file_name,line_number,error_type,error_description
create-react-app\packages\react-dev-utils\InterpolateHtmlPlugin.js,34:26,error,prefer-template
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,8:1,error,strict
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,37:14,error,prefer-template
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,42:16,error,max-statements
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,42:16,error,complexity
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,65:32,error,no-magic-numbers
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,65:46,error,no-magic-numbers
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,66:30,error,no-magic-numbers
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,66:44,error,no-magic-numbers
create-react-app\packages\react-dev-utils\ModuleNotFoundPlugin.js,75:11,error,prefer-template
create-react-app\packages\react-dev-utils\ModuleScopePlugin.js,8:1,error,strict
create-react-app\packages\react-dev-utils\ModuleScopePlugin.js,34:69,error,no-magic-numbers
create-react-app\packages\react-dev-utils\ModuleScopePlugin.js,35:71,error,no-magic-numbers
create-react-app\packages\react-dev-utils\ModuleScopePlugin.js,78:13,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,7:1,error,strict
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,121:18,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,152:35,error,max-statements
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,152:47,error,require-await
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,182:36,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,197:9,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,202:9,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,212:42,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,217:20,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,222:22,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,224:22,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,267:7,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,277:7,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,286:21,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,289:7,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,312:17,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,317:18,error,no-magic-numbers
