directory_file_name,line_number,error_type,error_description
,146:1,error,indent
,147:1,error,indent
,148:1,error,indent
,149:1,error,indent
,150:1,error,indent
,151:1,error,indent
,152:1,error,indent
,153:1,error,indent
,154:1,error,indent
,155:1,error,indent
,156:1,error,indent
,157:1,error,indent
,158:1,error,indent
,159:1,error,indent
,160:1,error,indent
,161:1,error,indent
,162:1,error,indent
,163:1,error,indent
,164:1,error,indent
,188:48,error,no-magic-numbers
,213:7,error,no-magic-numbers
,213:34,error,no-magic-numbers
,221:27,error,no-magic-numbers
,254:28,error,no-magic-numbers
,256:26,error,no-magic-numbers
,258:35,error,no-magic-numbers
,261:35,error,no-magic-numbers
,262:23,error,no-magic-numbers
,293:13,error,max-statements
,297:28,error,no-magic-numbers
,299:26,error,no-magic-numbers
,301:35,error,no-magic-numbers
,304:35,error,no-magic-numbers
,305:23,error,no-magic-numbers
,325:25,error,no-magic-numbers
,329:59,error,no-magic-numbers
,334:36,error,no-useless-escape
,348:12,error,prefer-template
,550:16,error,max-statements
,550:16,error,complexity
,620:34,error,no-magic-numbers
,691:27,error,no-magic-numbers
,703:22,error,no-magic-numbers
,778:28,error,no-magic-numbers
,789:61,error,no-magic-numbers
,790:31,error,prefer-template
,825:40,error,no-magic-numbers
,864:7,error,prefer-template
,868:11,error,prefer-template
,872:32,error,no-magic-numbers
,876:41,error,no-magic-numbers
,942:28,error,no-magic-numbers
,943:26,error,no-magic-numbers
,944:26,error,no-magic-numbers
,945:27,error,no-magic-numbers
,948:26,error,no-magic-numbers
,958:14,error,prefer-template
,963:14,error,prefer-template
,1154:28,error,no-magic-numbers
,1155:1,error,indent
,1155:14,error,no-magic-numbers
,1156:1,error,indent
,1157:1,error,indent
,1157:14,error,no-magic-numbers
,1158:1,error,indent
,1159:1,error,indent
,1159:14,error,no-magic-numbers
,1160:1,error,indent
,1162:1,error,indent
,1163:1,error,indent
,110:12,error,no-magic-numbers
,111:15,error,prefer-template
,111:111,error,no-magic-numbers
,112:23,error,no-magic-numbers
,116:9,error,no-cond-assign
,124:21,error,prefer-template
,136:16,error,max-statements
,166:37,error,no-magic-numbers
,177:3,error,max-statements
,177:3,error,complexity
,184:31,error,no-magic-numbers
,189:28,error,no-magic-numbers
,208:18,error,no-magic-numbers
,289:14,error,no-magic-numbers
,294:30,error,no-magic-numbers
,296:36,error,no-magic-numbers
,312:33,error,no-magic-numbers
,313:19,error,prefer-template
,318:59,error,no-magic-numbers
,319:29,error,no-magic-numbers
,319:49,error,no-magic-numbers
,345:32,error,no-magic-numbers
,368:18,error,no-magic-numbers
,439:13,error,max-statements
,448:49,error,no-magic-numbers
,449:17,error,no-magic-numbers
,454:16,error,no-magic-numbers
,461:28,error,no-magic-numbers
,466:9,error,no-redeclare
,469:27,error,prefer-template
,521:54,error,no-magic-numbers
,530:34,error,no-magic-numbers
,547:49,error,no-magic-numbers
,547:58,error,no-magic-numbers
,552:36,error,no-magic-numbers
,555:29,error,no-magic-numbers
,557:24,error,no-magic-numbers
,558:21,error,no-magic-numbers
,558:41,error,no-magic-numbers
,601:9,error,no-magic-numbers
,601:27,error,no-magic-numbers
,618:18,error,no-magic-numbers
,632:44,error,no-magic-numbers
,633:43,error,no-magic-numbers
,636:30,error,no-magic-numbers
,664:45,error,no-magic-numbers
,666:10,error,no-magic-numbers
,668:16,error,no-magic-numbers
,65:21,error,no-magic-numbers
,89:19,error,no-magic-numbers
,110:25,error,max-statements
,140:21,error,no-magic-numbers
,146:24,error,no-magic-numbers
,167:49,error,no-magic-numbers
,175:21,error,prefer-template
,106:24,error,no-magic-numbers
,133:18,error,no-magic-numbers
,152:12,error,no-magic-numbers
,192:17,error,prefer-template
,215:19,error,prefer-template
,57:20,error,no-magic-numbers
,58:20,error,no-magic-numbers
,58:41,error,no-magic-numbers
,58:60,error,no-magic-numbers
,59:33,error,no-magic-numbers
,59:36,error,no-magic-numbers
,128:28,error,no-magic-numbers
,132:21,error,no-magic-numbers
,133:36,error,no-magic-numbers
,135:22,error,no-magic-numbers
,135:32,error,no-magic-numbers
,158:1,error,indent
,159:1,error,indent
,160:1,error,indent
,161:1,error,indent
,162:1,error,indent
,163:1,error,indent
,164:1,error,indent
,165:1,error,indent
,166:1,error,indent
,167:1,error,indent
,168:1,error,indent
,168:27,error,prefer-template
,190:1,error,indent
,191:1,error,indent
,192:1,error,indent
,193:1,error,indent
,194:1,error,indent
,195:1,error,indent
,196:1,error,indent
,197:1,error,indent
,198:1,error,indent
,199:1,error,indent
,200:1,error,indent
,201:1,error,indent
,201:27,error,prefer-template
